subject,theory,explo_overlap,trial,labelled,looking_time
37,CR,0.5,6,no_label,17
37,CR,0.5,6,label,16
37,CR,0.5,7,no_label,15
37,CR,0.5,7,label,14
38,LaF,0.5,0,label,29
38,LaF,0.5,0,no_label,27
38,LaF,0.5,1,label,25
38,LaF,0.5,1,no_label,24
38,LaF,0.5,2,label,23
38,LaF,0.5,2,no_label,22
38,LaF,0.5,3,label,21
38,LaF,0.5,3,no_label,20
38,LaF,0.5,4,label,18
38,LaF,0.5,4,no_label,17
38,LaF,0.5,5,label,16
38,LaF,0.5,5,no_label,15
38,LaF,0.5,6,label,14
38,LaF,0.5,6,no_label,13
38,LaF,0.5,7,label,12
38,LaF,0.5,7,no_label,11
39,CR,0.5,0,label,36
39,CR,0.5,0,no_label,31
39,CR,0.5,1,label,32
39,CR,0.5,1,no_label,28
39,CR,0.5,2,label,29
39,CR,0.5,2,no_label,25
39,CR,0.5,3,label,26
39,CR,0.5,3,no_label,22
39,CR,0.5,4,label,23
39,CR,0.5,4,no_label,19
39,CR,0.5,5,label,19
39,CR,0.5,5,no_label,16
39,CR,0.5,6,label,16
39,CR,0.5,6,no_label,14
39,CR,0.5,7,label,14
39,CR,0.5,7,no_label,11
40,LaF,0.5,0,no_label,36
40,LaF,0.5,0,label,33
40,LaF,0.5,1,no_label,31
40,LaF,0.5,1,label,31
40,LaF,0.5,2,no_label,28
40,LaF,0.5,2,label,28
40,LaF,0.5,3,no_label,26
40,LaF,0.5,3,label,25
40,LaF,0.5,4,no_label,23
40,LaF,0.5,4,label,23
40,LaF,0.5,5,no_label,21
40,LaF,0.5,5,label,20
40,LaF,0.5,6,no_label,18
40,LaF,0.5,6,label,17
40,LaF,0.5,7,no_label,16
40,LaF,0.5,7,label,15
41,CR,0.5,0,no_label,31
41,CR,0.5,0,label,34
41,CR,0.5,1,no_label,33
41,CR,0.5,1,label,32
41,CR,0.5,2,no_label,30
41,CR,0.5,2,label,29
41,CR,0.5,3,no_label,28
41,CR,0.5,3,label,26
41,CR,0.5,4,no_label,25
41,CR,0.5,4,label,24
41,CR,0.5,5,no_label,22
41,CR,0.5,5,label,21
41,CR,0.5,6,no_label,20
41,CR,0.5,6,label,18
41,CR,0.5,7,no_label,17
41,CR,0.5,7,label,16
42,LaF,0.5,0,label,32
42,LaF,0.5,0,no_label,33
42,LaF,0.5,1,label,32
42,LaF,0.5,1,no_label,31
42,LaF,0.5,2,label,29
42,LaF,0.5,2,no_label,28
42,LaF,0.5,3,label,27
42,LaF,0.5,3,no_label,25
42,LaF,0.5,4,label,24
42,LaF,0.5,4,no_label,23
42,LaF,0.5,5,label,21
42,LaF,0.5,5,no_label,20
42,LaF,0.5,6,label,19
42,LaF,0.5,6,no_label,18
42,LaF,0.5,7,label,16
42,LaF,0.5,7,no_label,15
43,CR,0.5,0,label,37
43,CR,0.5,0,no_label,31
43,CR,0.5,1,label,31
43,CR,0.5,1,no_label,28
43,CR,0.5,2,label,28
43,CR,0.5,2,no_label,26
43,CR,0.5,3,label,26
43,CR,0.5,3,no_label,23
43,CR,0.5,4,label,23
43,CR,0.5,4,no_label,21
43,CR,0.5,5,label,20
43,CR,0.5,5,no_label,18
43,CR,0.5,6,label,18
43,CR,0.5,6,no_label,16
43,CR,0.5,7,label,15
43,CR,0.5,7,no_label,13
44,LaF,0.5,0,no_label,31
44,LaF,0.5,0,label,32
44,LaF,0.5,1,no_label,29
44,LaF,0.5,1,label,29
44,LaF,0.5,2,no_label,26
44,LaF,0.5,2,label,26
44,LaF,0.5,3,no_label,23
44,LaF,0.5,3,label,23
44,LaF,0.5,4,no_label,20
44,LaF,0.5,4,label,21
44,LaF,0.5,5,no_label,18
44,LaF,0.5,5,label,18
44,LaF,0.5,6,no_label,15
44,LaF,0.5,6,label,15
44,LaF,0.5,7,no_label,13
44,LaF,0.5,7,label,12
45,CR,0.5,0,no_label,35
45,CR,0.5,0,label,30
45,CR,0.5,1,no_label,30
45,CR,0.5,1,label,27
45,CR,0.5,2,no_label,27
45,CR,0.5,2,label,24
45,CR,0.5,3,no_label,24
45,CR,0.5,3,label,22
45,CR,0.5,4,no_label,21
45,CR,0.5,4,label,19
45,CR,0.5,5,no_label,19
45,CR,0.5,5,label,17
45,CR,0.5,6,no_label,16
45,CR,0.5,6,label,14
45,CR,0.5,7,no_label,13
45,CR,0.5,7,label,12
46,LaF,0.5,0,label,32
46,LaF,0.5,0,no_label,33
46,LaF,0.5,1,label,29
46,LaF,0.5,1,no_label,30
46,LaF,0.5,2,label,26
46,LaF,0.5,2,no_label,27
46,LaF,0.5,3,label,23
46,LaF,0.5,3,no_label,24
46,LaF,0.5,4,label,21
46,LaF,0.5,4,no_label,21
46,LaF,0.5,5,label,18
46,LaF,0.5,5,no_label,18
46,LaF,0.5,6,label,16
46,LaF,0.5,6,no_label,16
46,LaF,0.5,7,label,13
46,LaF,0.5,7,no_label,13
47,CR,0.5,0,label,29
47,CR,0.5,0,no_label,28
47,CR,0.5,1,label,27
47,CR,0.5,1,no_label,25
47,CR,0.5,2,label,24
47,CR,0.5,2,no_label,23
47,CR,0.5,3,label,22
47,CR,0.5,3,no_label,20
47,CR,0.5,4,label,19
47,CR,0.5,4,no_label,18
47,CR,0.5,5,label,17
47,CR,0.5,5,no_label,15
47,CR,0.5,6,label,14
47,CR,0.5,6,no_label,13
47,CR,0.5,7,label,12
47,CR,0.5,7,no_label,10
48,LaF,0.625,0,no_label,28
48,LaF,0.625,0,label,29
48,LaF,0.625,1,no_label,28
48,LaF,0.625,1,label,26
48,LaF,0.625,2,no_label,26
48,LaF,0.625,2,label,24
48,LaF,0.625,3,no_label,23
48,LaF,0.625,3,label,22
48,LaF,0.625,4,no_label,21
48,LaF,0.625,4,label,19
48,LaF,0.625,5,no_label,18
48,LaF,0.625,5,label,17
48,LaF,0.625,6,no_label,16
48,LaF,0.625,6,label,15
48,LaF,0.625,7,no_label,14
48,LaF,0.625,7,label,13
49,CR,0.625,0,no_label,32
49,CR,0.625,0,label,28
49,CR,0.625,1,no_label,28
49,CR,0.625,1,label,25
49,CR,0.625,2,no_label,25
49,CR,0.625,2,label,22
49,CR,0.625,3,no_label,22
49,CR,0.625,3,label,20
49,CR,0.625,4,no_label,19
49,CR,0.625,4,label,17
49,CR,0.625,5,no_label,16
49,CR,0.625,5,label,14
49,CR,0.625,6,no_label,14
49,CR,0.625,6,label,12
49,CR,0.625,7,no_label,11
49,CR,0.625,7,label,9
50,LaF,0.625,0,label,30
50,LaF,0.625,0,no_label,28
50,LaF,0.625,1,label,26
50,LaF,0.625,1,no_label,25
50,LaF,0.625,2,label,24
50,LaF,0.625,2,no_label,23
50,LaF,0.625,3,label,22
50,LaF,0.625,3,no_label,21
50,LaF,0.625,4,label,19
50,LaF,0.625,4,no_label,18
50,LaF,0.625,5,label,17
50,LaF,0.625,5,no_label,16
50,LaF,0.625,6,label,15
50,LaF,0.625,6,no_label,14
50,LaF,0.625,7,label,13
50,LaF,0.625,7,no_label,12
51,CR,0.625,0,label,30
51,CR,0.625,0,no_label,31
51,CR,0.625,1,label,28
51,CR,0.625,1,no_label,27
51,CR,0.625,2,label,25
51,CR,0.625,2,no_label,24
51,CR,0.625,3,label,22
51,CR,0.625,3,no_label,21
51,CR,0.625,4,label,19
51,CR,0.625,4,no_label,19
51,CR,0.625,5,label,17
51,CR,0.625,5,no_label,16
51,CR,0.625,6,label,14
51,CR,0.625,6,no_label,13
51,CR,0.625,7,label,11
51,CR,0.625,7,no_label,11
52,LaF,0.625,0,no_label,31
52,LaF,0.625,0,label,30
52,LaF,0.625,1,no_label,28
52,LaF,0.625,1,label,27
52,LaF,0.625,2,no_label,26
52,LaF,0.625,2,label,24
52,LaF,0.625,3,no_label,23
52,LaF,0.625,3,label,22
