subject,model,explo_overlap,trial,labelled,looking_time
35,LaF,0.75,6,label,26
35,LaF,0.75,6,no_label,27
35,LaF,0.75,7,label,24
35,LaF,0.75,7,no_label,26
36,LaF,0.75,0,no_label,40
36,LaF,0.75,0,label,34
36,LaF,0.75,1,no_label,38
36,LaF,0.75,1,label,33
36,LaF,0.75,2,no_label,36
36,LaF,0.75,2,label,31
36,LaF,0.75,3,no_label,34
36,LaF,0.75,3,label,29
36,LaF,0.75,4,no_label,32
36,LaF,0.75,4,label,27
36,LaF,0.75,5,no_label,30
36,LaF,0.75,5,label,25
36,LaF,0.75,6,no_label,28
36,LaF,0.75,6,label,24
36,LaF,0.75,7,no_label,26
36,LaF,0.75,7,label,22
37,LaF,0.75,0,label,35
37,LaF,0.75,0,no_label,33
37,LaF,0.75,1,label,34
37,LaF,0.75,1,no_label,32
37,LaF,0.75,2,label,33
37,LaF,0.75,2,no_label,30
37,LaF,0.75,3,label,31
37,LaF,0.75,3,no_label,28
37,LaF,0.75,4,label,29
37,LaF,0.75,4,no_label,26
37,LaF,0.75,5,label,27
37,LaF,0.75,5,no_label,25
37,LaF,0.75,6,label,25
37,LaF,0.75,6,no_label,23
37,LaF,0.75,7,label,24
37,LaF,0.75,7,no_label,21
38,LaF,0.75,0,no_label,39
38,LaF,0.75,0,label,35
38,LaF,0.75,1,no_label,36
38,LaF,0.75,1,label,34
38,LaF,0.75,2,no_label,34
38,LaF,0.75,2,label,33
38,LaF,0.75,3,no_label,32
38,LaF,0.75,3,label,31
38,LaF,0.75,4,no_label,30
38,LaF,0.75,4,label,29
38,LaF,0.75,5,no_label,29
38,LaF,0.75,5,label,28
38,LaF,0.75,6,no_label,27
38,LaF,0.75,6,label,26
38,LaF,0.75,7,no_label,25
38,LaF,0.75,7,label,24
39,LaF,0.75,0,label,42
39,LaF,0.75,0,no_label,34
39,LaF,0.75,1,label,34
39,LaF,0.75,1,no_label,32
39,LaF,0.75,2,label,32
39,LaF,0.75,2,no_label,30
39,LaF,0.75,3,label,30
39,LaF,0.75,3,no_label,28
39,LaF,0.75,4,label,28
39,LaF,0.75,4,no_label,26
39,LaF,0.75,5,label,26
39,LaF,0.75,5,no_label,24
39,LaF,0.75,6,label,24
39,LaF,0.75,6,no_label,23
39,LaF,0.75,7,label,22
39,LaF,0.75,7,no_label,21
40,LaF,0.75,0,no_label,37
40,LaF,0.75,0,label,34
40,LaF,0.75,1,no_label,33
