"subject","theory","model","explo_overlap","trial","labelled","looking_time","experiment","fit"
29,"Labels as Features","DMN","0.25",6,"label",23,"SingleObject",24.9439262704801
29,"Labels as Features","DMN","0.25",6,"no_label",25,"SingleObject",23.8164941687697
29,"Labels as Features","DMN","0.25",7,"label",20,"SingleObject",22.252648993175
29,"Labels as Features","DMN","0.25",7,"no_label",22,"SingleObject",21.0844602795546
31,"Compound Representations","DMN","0.25",0,"label",40,"SingleObject",41.3782066276583
31,"Compound Representations","DMN","0.25",0,"no_label",40,"SingleObject",41.3782066276583
31,"Compound Representations","DMN","0.25",1,"label",40,"SingleObject",38.6869293503532
31,"Compound Representations","DMN","0.25",1,"no_label",37,"SingleObject",38.6461727384432
31,"Compound Representations","DMN","0.25",2,"label",40,"SingleObject",35.9956520730481
31,"Compound Representations","DMN","0.25",2,"no_label",34,"SingleObject",35.9141388492281
31,"Compound Representations","DMN","0.25",3,"label",40,"SingleObject",33.304374795743
31,"Compound Representations","DMN","0.25",3,"no_label",31,"SingleObject",33.182104960013
31,"Compound Representations","DMN","0.25",4,"label",38,"SingleObject",30.6130975184379
31,"Compound Representations","DMN","0.25",4,"no_label",28,"SingleObject",30.450071070798
31,"Compound Representations","DMN","0.25",5,"label",34,"SingleObject",27.9218202411327
31,"Compound Representations","DMN","0.25",5,"no_label",25,"SingleObject",27.7180371815829
31,"Compound Representations","DMN","0.25",6,"label",30,"SingleObject",25.2305429638276
31,"Compound Representations","DMN","0.25",6,"no_label",22,"SingleObject",24.9860032923678
31,"Compound Representations","DMN","0.25",7,"label",27,"SingleObject",22.5392656865225
31,"Compound Representations","DMN","0.25",7,"no_label",20,"SingleObject",22.2539694031527
33,"Labels as Features","DMN","0.25",0,"no_label",40,"SingleObject",40.2086975040602
33,"Labels as Features","DMN","0.25",0,"label",40,"SingleObject",41.0915899343108
33,"Labels as Features","DMN","0.25",1,"no_label",40,"SingleObject",37.4766636148451
33,"Labels as Features","DMN","0.25",1,"label",40,"SingleObject",38.4003126570057
33,"Labels as Features","DMN","0.25",2,"no_label",37,"SingleObject",34.74462972563
33,"Labels as Features","DMN","0.25",2,"label",40,"SingleObject",35.7090353797006
33,"Labels as Features","DMN","0.25",3,"no_label",34,"SingleObject",32.0125958364149
33,"Labels as Features","DMN","0.25",3,"label",37,"SingleObject",33.0177581023954
33,"Labels as Features","DMN","0.25",4,"no_label",31,"SingleObject",29.2805619471999
33,"Labels as Features","DMN","0.25",4,"label",34,"SingleObject",30.3264808250903
33,"Labels as Features","DMN","0.25",5,"no_label",28,"SingleObject",26.5485280579848
33,"Labels as Features","DMN","0.25",5,"label",30,"SingleObject",27.6352035477852
33,"Labels as Features","DMN","0.25",6,"no_label",25,"SingleObject",23.8164941687697
33,"Labels as Features","DMN","0.25",6,"label",27,"SingleObject",24.9439262704801
