"subject","theory","step","dist_type","mu"
2,"CR",800,"r_labelled",2
2,"CR",800,"r_unlabelled",2
2,"CR",900,"labelled",0.228232740443936
2,"CR",900,"unlabelled",0.221501055725315
2,"CR",900,"between",1.5105866224391
2,"CR",900,"r_labelled",2
2,"CR",900,"r_unlabelled",2
2,"CR",1000,"labelled",0.230238015358849
2,"CR",1000,"unlabelled",0.222169019279726
2,"CR",1000,"between",1.55538600881568
2,"CR",1000,"r_labelled",2
2,"CR",1000,"r_unlabelled",2
2,"CR",1100,"labelled",0.23219371178533
2,"CR",1100,"unlabelled",0.222963689877021
2,"CR",1100,"between",1.58462194649503
2,"CR",1100,"r_labelled",2
2,"CR",1100,"r_unlabelled",2
2,"CR",1200,"labelled",0.23421353238428
2,"CR",1200,"unlabelled",0.223934733241324
2,"CR",1200,"between",1.6033739485699
2,"CR",1200,"r_labelled",2
2,"CR",1200,"r_unlabelled",2
2,"CR",1300,"labelled",0.236340762602473
2,"CR",1300,"unlabelled",0.225088445012101
2,"CR",1300,"between",1.61524674990377
2,"CR",1300,"r_labelled",2
2,"CR",1300,"r_unlabelled",2
2,"CR",1400,"labelled",0.238587374968299
2,"CR",1400,"unlabelled",0.226415740473603
2,"CR",1400,"between",1.62267811758212
2,"CR",1400,"r_labelled",2
2,"CR",1400,"r_unlabelled",2
2,"CR",1500,"labelled",0.240953746619773
2,"CR",1500,"unlabelled",0.227904016262747
2,"CR",1500,"between",1.62726856020626
2,"CR",1500,"r_labelled",2
2,"CR",1500,"r_unlabelled",2
2,"CR",1600,"labelled",0.243436875512573
2,"CR",1600,"unlabelled",0.229541660574988
2,"CR",1600,"between",1.63005003133039
2,"CR",1600,"r_labelled",2
2,"CR",1600,"r_unlabelled",2
2,"CR",1700,"labelled",0.246033324225735
2,"CR",1700,"unlabelled",0.231319351449483
2,"CR",1700,"between",1.63168058424887
2,"CR",1700,"r_labelled",2
2,"CR",1700,"r_unlabelled",2
2,"CR",1800,"labelled",0.248740069178041
2,"CR",1800,"unlabelled",0.233230078540131
2,"CR",1800,"between",1.6325770350556
2,"CR",1800,"r_labelled",2
2,"CR",1800,"r_unlabelled",2
3,"LaF_ignore_missing",0,"labelled",0.20271362700708
3,"LaF_ignore_missing",0,"unlabelled",0.244160240231914
3,"LaF_ignore_missing",0,"between",1.56842135565892
3,"LaF_ignore_missing",0,"r_labelled",3
3,"LaF_ignore_missing",0,"r_unlabelled",3
3,"LaF_ignore_missing",100,"labelled",0.178937592785518
3,"LaF_ignore_missing",100,"unlabelled",0.148041026850059
3,"LaF_ignore_missing",100,"between",0.600700438491786
3,"LaF_ignore_missing",100,"r_labelled",3
3,"LaF_ignore_missing",100,"r_unlabelled",3
3,"LaF_ignore_missing",200,"labelled",0.189626828155471
3,"LaF_ignore_missing",200,"unlabelled",0.157225175004173
3,"LaF_ignore_missing",200,"between",0.764094844510154
3,"LaF_ignore_missing",200,"r_labelled",3
3,"LaF_ignore_missing",200,"r_unlabelled",3
3,"LaF_ignore_missing",300,"labelled",0.191467939322676
3,"LaF_ignore_missing",300,"unlabelled",0.167282308401141
3,"LaF_ignore_missing",300,"between",0.939746539218798
3,"LaF_ignore_missing",300,"r_labelled",3
3,"LaF_ignore_missing",300,"r_unlabelled",3
3,"LaF_ignore_missing",400,"labelled",0.190091276797301
3,"LaF_ignore_missing",400,"unlabelled",0.176129476531554
3,"LaF_ignore_missing",400,"between",1.09670794604526
3,"LaF_ignore_missing",400,"r_labelled",3
3,"LaF_ignore_missing",400,"r_unlabelled",3
3,"LaF_ignore_missing",500,"labelled",0.187943982935935
3,"LaF_ignore_missing",500,"unlabelled",0.182828919230907
3,"LaF_ignore_missing",500,"between",1.22441983737055
3,"LaF_ignore_missing",500,"r_labelled",3
3,"LaF_ignore_missing",500,"r_unlabelled",3
3,"LaF_ignore_missing",600,"labelled",0.185549908711144
3,"LaF_ignore_missing",600,"unlabelled",0.188297550168067
3,"LaF_ignore_missing",600,"between",1.32370370488681
3,"LaF_ignore_missing",600,"r_labelled",3
3,"LaF_ignore_missing",600,"r_unlabelled",3
3,"LaF_ignore_missing",700,"labelled",0.183380759810641
3,"LaF_ignore_missing",700,"unlabelled",0.193229891589774
3,"LaF_ignore_missing",700,"between",1.39856276786257
3,"LaF_ignore_missing",700,"r_labelled",3
3,"LaF_ignore_missing",700,"r_unlabelled",3
3,"LaF_ignore_missing",800,"labelled",0.181903338619153
3,"LaF_ignore_missing",800,"unlabelled",0.197878677306754
3,"LaF_ignore_missing",800,"between",1.45329734978057
3,"LaF_ignore_missing",800,"r_labelled",3
3,"LaF_ignore_missing",800,"r_unlabelled",3
3,"LaF_ignore_missing",900,"labelled",0.181367262904934
3,"LaF_ignore_missing",900,"unlabelled",0.202308633442305
3,"LaF_ignore_missing",900,"between",1.49221787941697
3,"LaF_ignore_missing",900,"r_labelled",3
3,"LaF_ignore_missing",900,"r_unlabelled",3
3,"LaF_ignore_missing",1000,"labelled",0.181738079247062
3,"LaF_ignore_missing",1000,"unlabelled",0.206550827551878
3,"LaF_ignore_missing",1000,"between",1.51929941531971
3,"LaF_ignore_missing",1000,"r_labelled",3
3,"LaF_ignore_missing",1000,"r_unlabelled",3
3,"LaF_ignore_missing",1100,"labelled",0.182839172562529
3,"LaF_ignore_missing",1100,"unlabelled",0.210681705217596
3,"LaF_ignore_missing",1100,"between",1.5377544572236
3,"LaF_ignore_missing",1100,"r_labelled",3
3,"LaF_ignore_missing",1100,"r_unlabelled",3
3,"LaF_ignore_missing",1200,"labelled",0.184497341549016
3,"LaF_ignore_missing",1200,"unlabelled",0.214800663517354
