"subject","theory","model","explo_overlap","trial","labelled","looking_time","experiment","fit"
677,"Labels as Features","DMN","0",7,"label",27,"Category",24.7510556438411
677,"Labels as Features","DMN","0",7,"no_label",24,"Category",22.1545277054349
679,"Compound Representations","DMN","0",0,"label",40,"Category",42.0332080726391
679,"Compound Representations","DMN","0",0,"no_label",40,"Category",42.0332080726391
679,"Compound Representations","DMN","0",1,"label",40,"Category",39.5327025702861
679,"Compound Representations","DMN","0",1,"no_label",40,"Category",39.2936637767015
679,"Compound Representations","DMN","0",2,"label",40,"Category",37.032197067933
679,"Compound Representations","DMN","0",2,"no_label",39,"Category",36.5541194807638
679,"Compound Representations","DMN","0",3,"label",40,"Category",34.53169156558
679,"Compound Representations","DMN","0",3,"no_label",36,"Category",33.8145751848261
679,"Compound Representations","DMN","0",4,"label",37,"Category",32.0311860632269
679,"Compound Representations","DMN","0",4,"no_label",33,"Category",31.0750308888885
679,"Compound Representations","DMN","0",5,"label",34,"Category",29.5306805608739
679,"Compound Representations","DMN","0",5,"no_label",30,"Category",28.3354865929508
679,"Compound Representations","DMN","0",6,"label",30,"Category",27.0301750585208
679,"Compound Representations","DMN","0",6,"no_label",27,"Category",25.5959422970131
679,"Compound Representations","DMN","0",7,"label",27,"Category",24.5296695561678
679,"Compound Representations","DMN","0",7,"no_label",24,"Category",22.8563980010755
681,"Labels as Features","DMN","0",0,"no_label",40,"Category",41.3313377769986
681,"Labels as Features","DMN","0",0,"label",40,"Category",42.2545941603125
681,"Labels as Features","DMN","0",1,"no_label",40,"Category",38.5917934810609
681,"Labels as Features","DMN","0",1,"label",40,"Category",39.7540886579594
681,"Labels as Features","DMN","0",2,"no_label",38,"Category",35.8522491851233
681,"Labels as Features","DMN","0",2,"label",40,"Category",37.2535831556064
681,"Labels as Features","DMN","0",3,"no_label",35,"Category",33.1127048891856
681,"Labels as Features","DMN","0",3,"label",40,"Category",34.7530776532533
681,"Labels as Features","DMN","0",4,"no_label",32,"Category",30.3731605932479
681,"Labels as Features","DMN","0",4,"label",37,"Category",32.2525721509003
681,"Labels as Features","DMN","0",5,"no_label",29,"Category",27.6336162973103
681,"Labels as Features","DMN","0",5,"label",33,"Category",29.7520666485472
